ibnr;ld;dst;kz;name;length;namel;dstabk;gonr;goabk;gdenr;gemeinde;kt;bp;vp;vg;vd;ycoord;xcoord;height;karte1;karte2
8572179;85;72179;5;Zwingen, Schulhaus;18;;;801;PAG;2793;Zwingen;BL;*;*;;;606'952;254'032;344;▲;▲
8572200;85;72200;9;Zwingen, Schützenhaus;21;;;801;PAG;2793;Zwingen;BL;*;*;;;606'128;253'987;352;▲;▲
8572202;85;72202;5;Zwingen, Strengenfeld;21;;;801;PAG;2793;Zwingen;BL;*;*;;;607'564;254'299;341;▲;▲
8571587;85;71587;0;Zwirgi;6;;;801;PAG;786;Schattenhalb;BE;*;*;;;656'871;173'740;971;▲;▲
8582818;85;82818;6;Zwischbergen, Belleggen;23;;;801;PAG;6011;Zwischbergen;VS;*;*;;;653'280;114'237;1196;▲;▲
8582820;85;82820;2;Zwischbergen, Bord;18;;;801;PAG;6011;Zwischbergen;VS;*;*;;;652'201;112'529;1342;▲;▲
8582817;85;82817;8;Zwischbergen, Hof;17;;;801;PAG;6011;Zwischbergen;VS;*;*;;;654'149;115'480;1053;▲;▲
8582819;85;82819;4;Zwischbergen, Sera;18;;;801;PAG;6011;Zwischbergen;VS;*;*;;;652'496;113'119;1270;▲;▲
8581865;85;81865;8;Zwischenflüh, Allmiried;23;;;801;PAG;762;Diemtigen;BE;*;*;;;607'177;161'806;1089;▲;▲
8507711;85;7711;5;Zwischenflüh, Anger;19;;;801;PAG;762;Diemtigen;BE;*;*;;;604'923;160'818;1080;▲;▲
8582971;85;82971;3;Zwischenflüh, Bühl;18;;;801;PAG;762;Diemtigen;BE;*;*;;;607'563;162'288;1052;▲;▲
8507720;85;7720;6;Zwischenflüh, Haueten;21;;;801;PAG;762;Diemtigen;BE;*;*;;;605'134;161'241;1066;▲;▲
8507725;85;7725;5;Zwischenflüh, Post;18;;;801;PAG;762;Diemtigen;BE;*;*;;;605'862;161'734;1041;▲;▲
8583505;85;83505;8;Züberwangen, Lindenbaum;23;;;801;PAG;3426;Zuzwil (SG);SG;*;*;;;725'683;258'542;519;▲;▲
8573914;85;73914;4;Züberwangen, Schulhaus;22;;;801;PAG;3426;Zuzwil (SG);SG;*;*;;;724'700;258'575;532;▲;▲
8583838;85;83838;3;Züberwangen, St. Gallerstrasse;30;;;801;PAG;3426;Zuzwil (SG);SG;*;*;;;724'591;258'781;526;▲;▲
8573915;85;73915;1;Züberwangen, Weieren;20;;;801;PAG;3426;Zuzwil (SG);SG;*;*;;;725'484;258'381;511;▲;▲
8506783;85;6783;5;Züberwangen, Zentrum;20;;;801;PAG;3426;Zuzwil (SG);SG;*;*;;;724'023;258'632;528;▲;▲
8506282;85;6282;8;Zürchersmühle;13;;ZUEM;22;AB-ab;3006;Urnäsch;AR;*;*;;;740'124;243'818;810;▲;▲
8503008;85;3008;0;Zürich Affoltern;16;;ZAF;11;SBB;261;Zürich;ZH;*;*;;*;680'735;252'784;456;▲;▲
8519176;85;19176;7;Zürich Affoltern (Abzw);23;;ZAFA;11;SBB;261;Zürich;ZH;*;;;;679'762;253'149;449;▲;▲
8591054;85;91054;7;Zürich Affoltern, Bahnhof;25;;;849;VBZ;261;Zürich;ZH;*;*;;;680'648;252'813;456;▲;▲
8503001;85;3001;5;Zürich Altstetten;17;;ZAS;11;SBB;261;Zürich;ZH;*;*;;*;679'298;249'492;399;▲;▲
8515451;85;15451;8;Zürich Altstetten Farbhof;25;;ZAFH;11;SBB;261;Zürich;ZH;*;;;;678'581;249'513;402;▲;▲
8515763;85;15763;6;Zürich Altstetten Nord (Abzw);29;;ZASN;11;SBB;261;Zürich;ZH;*;;;;680'110;249'307;404;▲;▲
8515487;85;15487;2;Zürich Altstetten Ost (Abzw);28;;ZASO;11;SBB;261;Zürich;ZH;*;;;;679'762;249'397;399;▲;▲
8515488;85;15488;0;Zürich Altstetten Süd (Abzw);28;;ZASS;11;SBB;261;Zürich;ZH;*;;;;679'560;249'409;399;▲;▲
8591056;85;91056;2;Zürich Altstetten, Bahnhof;26;;;849;VBZ;261;Zürich;ZH;*;*;;;679'256;249'450;399;▲;▲
8591057;85;91057;0;Zürich Altstetten, Bahnhof N;28;;;849;VBZ;261;Zürich;ZH;*;*;;;679'370;249'558;398;▲;▲
8516652;85;16652;0;Zürich Aubrugg;14;;ZAUB;11;SBB;261;Zürich;ZH;*;;;;685'336;251'675;428;▲;▲
8515482;85;15482;3;Zürich Aussersihl (Abzw);24;;ZAU;11;SBB;261;Zürich;ZH;*;;;;681'666;248'121;404;▲;▲
8530811;85;30811;4;Zürich Balgrist;15;;ZUEB;46;FB;261;Zürich;ZH;*;*;;;685'856;245'480;477;▲;▲
8503051;85;3051;0;Zürich Binz;11;;ZBZ;78;SZU;261;Zürich;ZH;*;*;;*;681'568;246'315;421;▲;▲
8518927;85;18927;4;Zürich Birchsteg (Abzw);23;;ZBST;11;SBB;261;Zürich;ZH;*;;;;682'963;251'391;444;▲;▲
8503086;85;3086;6;Zürich Brunau;13;;ZBRU;78;SZU;261;Zürich;ZH;*;*;;*;682'174;245'155;422;▲;▲
8503651;85;3651;7;Zürich Bürkliplatz (See);24;;;194;ZSG;261;Zürich;ZH;*;*;;;683'252;246'714;406;▲;▲
8503014;85;3014;8;Zürich Cargo;12;;ZGB;11;SBB;261;Zürich;ZH;*;*;*;;681'717;248'376;406;▲;▲
8503499;85;3499;1;Zürich Central (Polybahn);25;;;165;PBZ;261;Zürich;ZH;*;*;;*;683'481;247'888;409;▲;▲
8503033;85;3033;8;Zürich CT;9;;ZUCT;11;SBB;261;Zürich;ZH;*;;;;681'589;248'588;405;▲;▲
8503010;85;3010;6;Zürich Enge;11;;ZEN;11;SBB;261;Zürich;ZH;*;*;;*;682'501;246'491;409;▲;▲
8503449;85;3449;6;Zürich Enge (See);17;;;194;ZSG;261;Zürich;ZH;*;*;;;682'989;245'946;409;▲;▲
8591058;85;91058;8;Zürich Enge, Bahnhof;20;;;849;VBZ;261;Zürich;ZH;*;*;;;682'559;246'495;409;▲;▲
8591059;85;91059;6;Zürich Enge, Bahnhof/Bederstr.;30;;;849;VBZ;261;Zürich;ZH;*;*;;;682'474;246'541;414;▲;▲
8519485;85;19485;2;Zürich Enge, Bederstr. (Vzw);28;;;849;VBZ;261;Zürich;ZH;*;;;;682'558;246'620;410;▲;▲
8519486;85;19486;0;Zürich Enge, Bf (Vzw Nord);26;;;849;VBZ;261;Zürich;ZH;*;;;;682'556;246'551;410;▲;▲
8519487;85;19487;8;Zürich Enge, Bf (Vzw Süd);25;;;849;VBZ;261;Zürich;ZH;*;;;;682'581;246'459;410;▲;▲
8503016;85;3016;3;Zürich Flughafen;16;;ZFH;11;SBB;62;Kloten;ZH;*;*;;*;684'749;256'117;430;▲;▲
8582194;85;82194;2;Zürich Flughafen, Alpenrock;27;;;773;VBG;62;Kloten;ZH;*;*;;;685'094;256'006;447;▲;▲
8573205;85;73205;7;Zürich Flughafen, Bahnhof;25;;;773;VBG;62;Kloten;ZH;*;*;;;684'850;256'125;447;▲;▲
8588553;85;88553;3;Zürich Flughafen, Fracht;24;;;773;VBG;62;Kloten;ZH;*;*;;;685'475;256'362;435;▲;▲
8519478;85;19478;7;Zürich Flughafen, Fracht (Wds);30;;;773;VBG;62;Kloten;ZH;*;;;;685'449;256'314;436;▲;▲
8593523;85;93523;9;Zürich Flughafen, Im Rohr;25;;;773;VBG;62;Kloten;ZH;*;*;;;683'751;255'574;420;▲;▲
8580301;85;80301;5;Zürich Flughafen, OPC;21;;;773;VBG;62;Kloten;ZH;*;*;;;684'992;256'373;447;▲;▲
8591031;85;91031;5;Zürich Flughafen, REGA;22;;;773;VBG;62;Kloten;ZH;*;*;;;685'530;257'025;433;▲;▲
8573213;85;73213;1;Zürich Flughafen, Werft;23;;;773;VBG;62;Kloten;ZH;*;*;;;685'384;255'503;447;▲;▲
8591032;85;91032;3;Zürich Flughafen, Werkhof;25;;;773;VBG;62;Kloten;ZH;*;*;;;683'826;255'407;419;▲;▲
8591022;85;91022;4;Zürich Flughafen,Flughafengef.;30;;;773;VBG;62;Kloten;ZH;*;*;;;684'118;255'269;421;▲;▲
8503052;85;3052;8;Zürich Friesenberg;18;;FRIB;78;SZU;261;Zürich;ZH;*;*;;*;680'773;246'543;446;▲;▲
8503091;85;3091;6;Zürich Giesshübel;17;;ZGH;78;SZU;261;Zürich;ZH;*;*;*;*;681'827;246'299;418;▲;▲
8518451;85;18451;5;Zürich Gubrist;14;;ZGUB;11;SBB;261;Zürich;ZH;*;;;;679'006;253'171;451;▲;▲
8503020;85;3020;5;Zürich Hardbrücke;17;;ZHDB;11;SBB;261;Zürich;ZH;*;*;;*;681'434;248'822;415;▲;▲
8503036;85;3036;1;Zürich Hardbrücke West (Spw);28;;ZHDW;11;SBB;261;Zürich;ZH;*;;;;680'414;249'232;401;▲;▲
8591060;85;91060;4;Zürich Hardbrücke, Bahnhof;26;;;849;VBZ;261;Zürich;ZH;*;*;;;681'429;248'793;404;▲;▲
8515145;85;15145;6;Zürich Hauptwerkstätte;22;;ZHW;11;SBB;261;Zürich;ZH;*;;;;680'316;249'132;401;▲;▲
8530812;85;30812;2;Zürich Hegibachplatz;20;;ZUEH;46;FB;261;Zürich;ZH;*;*;;;684'757;246'255;435;▲;▲
